"year","doy","hour","SolarR","Temp","RH","WS","precip"
2020,1,0,0,22,0.555,0,0.000462963
2020,1,1,0,22,0.555,0,0
2020,1,2,0,22,0.555,0,0
2020,1,3,0,22,0.555,0,0
2020,1,4,0,22,0.555,0,0
2020,1,5,0,22,0.555,0,0
2020,1,6,0,22,0.555,0,0
2020,1,7,0,22,0.555,0,0
2020,1,8,430,31,0.555,0,0
2020,1,9,430,31,0.555,0,0
2020,1,10,430,31,0.555,0,0
2020,1,11,430,31,0.555,0,0
2020,1,12,430,31,0.555,0,0
2020,1,13,430,31,0.555,0,0
2020,1,14,430,31,0.555,0,0
2020,1,15,430,31,0.555,0,0
2020,1,16,430,31,0.555,0,0
2020,1,17,430,31,0.555,0,0
2020,1,18,430,31,0.555,0,0
2020,1,19,430,31,0.555,0,0
2020,1,20,0,22,0.555,0,0
2020,1,21,0,22,0.555,0,0
2020,1,22,0,22,0.555,0,0
2020,1,23,0,22,0.555,0,0
2020,2,0,0,22,0.555,0,0.000462963
2020,2,1,0,22,0.555,0,0
2020,2,2,0,22,0.555,0,0
2020,2,3,0,22,0.555,0,0
2020,2,4,0,22,0.555,0,0
2020,2,5,0,22,0.555,0,0
2020,2,6,0,22,0.555,0,0
2020,2,7,0,22,0.555,0,0
2020,2,8,430,31,0.555,0,0
2020,2,9,430,31,0.555,0,0
2020,2,10,430,31,0.555,0,0
2020,2,11,430,31,0.555,0,0
2020,2,12,430,31,0.555,0,0
2020,2,13,430,31,0.555,0,0
2020,2,14,430,31,0.555,0,0
2020,2,15,430,31,0.555,0,0
2020,2,16,430,31,0.555,0,0
2020,2,17,430,31,0.555,0,0
2020,2,18,430,31,0.555,0,0
2020,2,19,430,31,0.555,0,0
2020,2,20,0,22,0.555,0,0
2020,2,21,0,22,0.555,0,0
2020,2,22,0,22,0.555,0,0
2020,2,23,0,22,0.555,0,0
2020,3,0,0,22,0.555,0,0.000462963
2020,3,1,0,22,0.555,0,0
2020,3,2,0,22,0.555,0,0
2020,3,3,0,22,0.555,0,0
2020,3,4,0,22,0.555,0,0
2020,3,5,0,22,0.555,0,0
2020,3,6,0,22,0.555,0,0
2020,3,7,0,22,0.555,0,0
2020,3,8,430,31,0.555,0,0
2020,3,9,430,31,0.555,0,0
2020,3,10,430,31,0.555,0,0
2020,3,11,430,31,0.555,0,0
2020,3,12,430,31,0.555,0,0
2020,3,13,430,31,0.555,0,0
2020,3,14,430,31,0.555,0,0
2020,3,15,430,31,0.555,0,0
2020,3,16,430,31,0.555,0,0
2020,3,17,430,31,0.555,0,0
2020,3,18,430,31,0.555,0,0
2020,3,19,430,31,0.555,0,0
2020,3,20,0,22,0.555,0,0
2020,3,21,0,22,0.555,0,0
2020,3,22,0,22,0.555,0,0
2020,3,23,0,22,0.555,0,0
2020,4,0,0,22,0.555,0,0.000462963
2020,4,1,0,22,0.555,0,0
2020,4,2,0,22,0.555,0,0
2020,4,3,0,22,0.555,0,0
2020,4,4,0,22,0.555,0,0
2020,4,5,0,22,0.555,0,0
2020,4,6,0,22,0.555,0,0
2020,4,7,0,22,0.555,0,0
2020,4,8,430,31,0.555,0,0
2020,4,9,430,31,0.555,0,0
2020,4,10,430,31,0.555,0,0
2020,4,11,430,31,0.555,0,0
2020,4,12,430,31,0.555,0,0
2020,4,13,430,31,0.555,0,0
2020,4,14,430,31,0.555,0,0
2020,4,15,430,31,0.555,0,0
2020,4,16,430,31,0.555,0,0
2020,4,17,430,31,0.555,0,0
2020,4,18,430,31,0.555,0,0
2020,4,19,430,31,0.555,0,0
2020,4,20,0,22,0.555,0,0
2020,4,21,0,22,0.555,0,0
2020,4,22,0,22,0.555,0,0
2020,4,23,0,22,0.555,0,0
2020,5,0,0,22,0.555,0,0.000462963
2020,5,1,0,22,0.555,0,0
2020,5,2,0,22,0.555,0,0
2020,5,3,0,22,0.555,0,0
2020,5,4,0,22,0.555,0,0
2020,5,5,0,22,0.555,0,0
2020,5,6,0,22,0.555,0,0
2020,5,7,0,22,0.555,0,0
2020,5,8,430,31,0.555,0,0
2020,5,9,430,31,0.555,0,0
2020,5,10,430,31,0.555,0,0
2020,5,11,430,31,0.555,0,0
2020,5,12,430,31,0.555,0,0
2020,5,13,430,31,0.555,0,0
2020,5,14,430,31,0.555,0,0
2020,5,15,430,31,0.555,0,0
2020,5,16,430,31,0.555,0,0
2020,5,17,430,31,0.555,0,0
2020,5,18,430,31,0.555,0,0
2020,5,19,430,31,0.555,0,0
2020,5,20,0,22,0.555,0,0
2020,5,21,0,22,0.555,0,0
2020,5,22,0,22,0.555,0,0
2020,5,23,0,22,0.555,0,0
2020,6,0,0,22,0.555,0,0.000462963
2020,6,1,0,22,0.555,0,0
2020,6,2,0,22,0.555,0,0
2020,6,3,0,22,0.555,0,0
2020,6,4,0,22,0.555,0,0
2020,6,5,0,22,0.555,0,0
2020,6,6,0,22,0.555,0,0
2020,6,7,0,22,0.555,0,0
2020,6,8,430,31,0.555,0,0
2020,6,9,430,31,0.555,0,0
2020,6,10,430,31,0.555,0,0
2020,6,11,430,31,0.555,0,0
2020,6,12,430,31,0.555,0,0
2020,6,13,430,31,0.555,0,0
2020,6,14,430,31,0.555,0,0
2020,6,15,430,31,0.555,0,0
2020,6,16,430,31,0.555,0,0
2020,6,17,430,31,0.555,0,0
2020,6,18,430,31,0.555,0,0
2020,6,19,430,31,0.555,0,0
2020,6,20,0,22,0.555,0,0
2020,6,21,0,22,0.555,0,0
2020,6,22,0,22,0.555,0,0
2020,6,23,0,22,0.555,0,0
2020,7,0,0,22,0.555,0,0.000462963
2020,7,1,0,22,0.555,0,0
2020,7,2,0,22,0.555,0,0
2020,7,3,0,22,0.555,0,0
2020,7,4,0,22,0.555,0,0
2020,7,5,0,22,0.555,0,0
2020,7,6,0,22,0.555,0,0
2020,7,7,0,22,0.555,0,0
2020,7,8,430,31,0.555,0,0
2020,7,9,430,31,0.555,0,0
2020,7,10,430,31,0.555,0,0
2020,7,11,430,31,0.555,0,0
2020,7,12,430,31,0.555,0,0
2020,7,13,430,31,0.555,0,0
2020,7,14,430,31,0.555,0,0
2020,7,15,430,31,0.555,0,0
2020,7,16,430,31,0.555,0,0
2020,7,17,430,31,0.555,0,0
2020,7,18,430,31,0.555,0,0
2020,7,19,430,31,0.555,0,0
2020,7,20,0,22,0.555,0,0
2020,7,21,0,22,0.555,0,0
2020,7,22,0,22,0.555,0,0
2020,7,23,0,22,0.555,0,0
2020,8,0,140.425531914894,24,0.59,1,0
2020,8,1,0,21.7,0.66,1,0
2020,8,2,0,20.5,0.72,0,0
2020,8,3,0,19.4,0.77,0,0
2020,8,4,0,18.8,0.81,1,0
2020,8,5,0,17.8,0.87,0,0
2020,8,6,0,18.1,0.87,1,0
2020,8,7,0,19,0.79,1,0
2020,8,8,0,18.4,0.77,1,0
2020,8,9,0,17.2,0.77,1,0
2020,8,10,0,16.1,0.79,0,0
2020,8,11,29.7872340425532,14.6,0.87,1,0
2020,8,12,97.8723404255319,17,0.75,1,0
2020,8,13,1140.42553191489,18.6,0.67,1,0
2020,8,14,2289.36170212766,20.5,0.6,2,0
2020,8,15,2948.93617021277,21.9,0.47,3,5
2020,8,16,3429.78723404255,22.9,0.43,3,0
2020,8,17,3668.08510638298,23.7,0.39,3,0
2020,8,18,3676.59574468085,24.1,0.38,3,0
2020,8,19,3485.10638297872,24.4,0.4,3,0
2020,8,20,3059.57446808511,24.7,0.4,2,0
2020,8,21,2272.34042553191,25,0.37,3,0
2020,8,22,165.957446808511,24.8,0.34,3,0
2020,8,23,123.404255319149,23.8,0.4,2,0
2020,9,0,46.8085106382979,22.8,0.46,1,0
2020,9,1,0,19.6,0.62,0,0
2020,9,2,0,16.4,0.79,0,0
2020,9,3,0,14.9,0.89,0,0
2020,9,4,0,13.9,0.94,0,0
2020,9,5,0,13.4,0.96,0,0
2020,9,6,0,13.1,0.95,0,0
2020,9,7,0,12.8,0.96,0,0
2020,9,8,0,12.1,0.97,0,0
2020,9,9,0,11.8,0.98,0,0
2020,9,10,0,11.7,0.98,0,0
2020,9,11,25.531914893617,11.4,0.98,0,0
2020,9,12,97.8723404255319,12.6,0.98,0,0
2020,9,13,987.234042553191,17,0.82,0,0
2020,9,14,2242.55319148936,19.8,0.7,1,0
2020,9,15,2910.63829787234,22,0.64,1,5
2020,9,16,3408.51063829787,23.6,0.55,2,0
2020,9,17,3642.55319148936,24.1,0.52,2,0
2020,9,18,3617.02127659574,24.6,0.52,2,0
2020,9,19,3438.29787234043,25.2,0.48,2,0
2020,9,20,3012.76595744681,25.6,0.47,2,0
2020,9,21,2195.74468085106,25.7,0.46,2,0
2020,9,22,187.234042553191,25.8,0.46,2,0
2020,9,23,123.404255319149,25.4,0.47,2,0
2020,10,0,42.5531914893617,24.5,0.52,1,0
2020,10,1,0,21.4,0.68,0,0
2020,10,2,0,18.4,0.84,0,0
